protected,verified,location,followers_count,following_count,tweet_count,listed_count,has_profile_image,isBot,un_no_of_char,un_special_char,name_no_of_char,name_special_char,des_no_of_usertags,des_no_of_hashtags,des_external_links,has_description,has_url,account_age_in_days,average_tweets_per_day,followers_following_count
0,0,1,740,1033,7191,62,1,0,6,0,6,0,0,0,0,0,0,4739,1.5174087360202575,764420
0,0,1,33,178,110,0,1,1,13,0,13,0,0,1,0,1,1,3149,0.03493172435693871,5874
1,0,1,385,299,50657,23,1,0,14,1,10,1,0,0,0,1,0,4914,10.308709808709809,115115
0,0,1,12073,13275,32476,178,1,0,8,0,15,0,2,14,1,1,1,4986,6.513437625350983,160269075
0,0,0,192,348,9917,2,1,0,9,0,10,0,0,0,0,0,0,4505,2.2013318534961153,66816
0,0,0,444,230,39667,1,1,0,7,0,16,0,0,0,0,1,0,3896,10.1814681724846,102120
0,0,1,456,789,995,33,1,0,12,0,12,0,0,0,0,1,1,4834,0.20583367811336367,359784
1,0,1,101,153,8,15,1,0,9,0,2,0,0,0,0,1,0,4885,0.0016376663254861821,15453
1,0,0,86,112,6888,1,1,0,7,1,6,0,0,0,0,0,0,4868,1.4149548069022186,9632
1,0,0,1205,800,6381,1,1,0,9,0,5,0,0,0,0,1,0,3401,1.876212878565128,964000
1,0,1,182,126,6076,0,1,0,8,0,6,0,0,0,0,0,0,3540,1.7163841807909606,22932
0,1,1,329150,783,61657,520,1,0,13,0,14,0,0,0,0,1,1,4761,12.950430581810544,257724450
1,0,0,6,35,112,0,1,0,9,0,13,0,0,0,0,0,0,4922,0.022754977651361235,210
0,0,0,527,1396,25185,5,1,1,13,0,13,0,0,0,0,1,0,3854,6.534769071094966,735692
0,0,0,113,163,3258,1,1,1,12,0,13,0,0,0,0,0,0,3153,1.0333016175071361,18419
0,0,1,37,200,135,0,1,1,13,0,13,0,1,0,0,1,1,3150,0.04285714285714286,7400
0,0,1,614,1283,6994,0,1,0,7,0,11,0,1,2,0,1,1,4124,1.6959262851600387,787762
0,0,1,3049,4199,240904,155,1,0,13,0,33,1,0,0,0,1,1,4839,49.78383963628849,12802751
0,0,1,237,286,10036,17,1,0,15,0,15,0,0,0,0,0,0,5073,1.9783165779617584,67782
0,0,0,15,0,140,0,1,1,8,0,16,0,0,0,1,1,0,4419,0.03168137587689523,0
0,0,0,761,851,21596,5,1,1,11,0,13,0,0,0,0,1,0,3854,5.603528801245459,647611
0,0,1,122,44,520,5,1,0,7,0,4,0,0,0,0,1,0,5230,0.0994263862332696,5368
0,0,1,421,466,26779,4,1,0,14,0,14,0,0,0,0,1,1,4973,5.384878343052484,196186
0,0,1,325,331,26953,1,1,0,7,0,26,0,0,0,0,0,0,4899,5.501735047968973,107575
0,0,1,154,0,1709,0,1,1,13,1,10,0,2,0,0,1,0,3686,0.4636462289744981,0
0,0,1,1098,1781,6727,56,1,0,12,0,29,1,0,0,0,1,1,4968,1.3540660225442833,1955538
0,0,1,329,1032,5307,11,1,0,13,0,14,0,0,0,0,1,0,4699,1.1293892317514365,339528
1,0,1,1028,788,36830,2,1,0,9,0,5,0,0,0,0,1,1,3798,9.69720905739863,810064
0,0,1,27,167,113,0,1,1,14,0,14,0,0,0,0,1,1,3149,0.03588440774849158,4509
0,0,0,26,0,187,0,1,1,8,0,16,0,0,0,0,1,0,3978,0.04700854700854701,0
0,0,1,417,152,22936,5,1,0,11,0,7,0,0,0,0,1,0,3863,5.937354387781517,63384
0,0,1,3887,4979,18658,390,1,0,11,1,8,0,0,0,0,1,1,4708,3.9630416312659302,19353373
0,1,1,202838,131,86776,561,1,0,11,0,12,0,0,1,0,1,1,5287,16.41308870815207,26571778
